VideoAnalysis: Time (s),VideoAnalysis: X,VideoAnalysis: Y,VideoAnalysis: X Velocity,VideoAnalysis: Y Velocity
0,118.6682813,388.5192188,76.87391493,-20.35807292
0.2,129.2620313,385.1754688,108.397895,-20.98307292
0.4,155.1175,378.0504688,144.4856771,-13.41796875
0.6,190.7229688,376.7301563,161.3384332,6.270073785
0.8,228.1370313,382.0504688,134.2573575,19.14880377
1,250.9534375,387.523125,68.47085789,15.7003555
1.2,258.055,390.6207813,-14.28612095,-0.258089274
1.4,244.8675,388.195,-94.27459555,-18.75077073
1.6,215.9885938,379.491875,-146.6463098,-19.04001038
1.8,179.4026563,376.491875,-157.6855152,-0.082084221
2,144.758125,380.78875,-121.2304688,13.29806858
2.2,125.0589063,385.3239063,-50.01193576,9.699435764
2.4,123.4065625,386.97625,31.30696615,-5.252821181
2.6,138.8479688,381.9996875,104.0359158,-13.97840712
2.8,169.7307813,377.116875,147.828776,-2.888454861
3,205.7932813,379.6051563,146.5614149,14.25238715
3.2,234.695625,386.0348438,106.3639323,16.58311632
3.4,253.0510938,388.9020313,36.89941406,4.873046875
3.6,251.3557813,388.6246875,-43.37619358,-10.69986979
3.8,234.4729688,383.2028125,-114.2909071,-18.39463976
4,199.4260938,378.10125,-149.4357639,-10.04503038
4.2,166.4964063,377.6598438,-137.4115668,5.445421007
4.4,138.8323438,382.0309375,-89.73361545,12.26942274
4.6,126.4729688,386.2457813,-16.8234592,1.937391493
4.8,131.33625,383.335625,60.03580729,-11.25271267
5,152.8714063,378.5660938,121.788737,-9.505208333
5.2,186.6370313,377.5895313,145.6363932,2.358398438
5.4,217.7542188,379.0817188,129.1634115,15.85177951
5.6,244.1604688,386.8004688,76.98187934,14.95496962
5.8,252.6370313,388.1910938,1.184353299,-1.096462674
6,244.305,385.695,-73.38975694,-14.48621962
6.2,220.1917188,379.9410938,-128.7207031,-15.3531901
6.4,186.5510938,377.0660938,-146.3416884,-3.350694444
6.6,154.1839063,378.2340625,-120.0564236,10.10253906
6.8,132.5159375,383.78875,-58.4000651,10.62554253
7,128.414375,385.148125,18.15917969,-1.778971354
7.2,141.5471875,382.3082813,85.65049913,-10.55013021
7.4,166.64875,378.491875,128.7467448,-7.209743924
7.6,198.6214063,376.8082813,137.1679688,8.256835938
7.8,228.4417188,383.1207813,105.3304036,17.20540365
8,245.7425,387.460625,43.60460069,8.221571181
8.2,247.3010938,387.4801563,-27.92209201,-6.909179688
8.4,233.8792188,383.35125,-93.78689236,-15.53114149
8.6,205.0940625,378.8239063,-132.0789931,-11.28309462
8.8,174.3948438,376.9371875,-131.1774166,2.583338313
9,147.0823438,380.773125,-95.67013014,11.58630404
9.2,130.789375,384.07,-29.74817463,7.818808564
9.4,134.3557813,386.3825,42.62866139,-7.009955173
9.6,150.2776563,379.8590625,100.9320725,-14.61711485
9.8,178.4651563,375.6442188,134.164609,-0.197942926
10,210.7971875,379.9371875,127.1625434,14.41894531
10.2,236.1604688,384.5934375,80.93804253,14.06846788
10.4,246.52375,387.304375,13.43153212,3.62358941
10.6,241.93,387.32,-56.79958767,-12.57758247
10.8,221.0979688,379.82,-110.5121528,-16.51692708
11,192.3440625,377.5465625,-132.1202257,-5.100368924
11.2,162.1214063,377.8785938,-116.6910807,6.378038194
11.4,139.9534375,381.9098438,-67.20431858,9.028320313
11.6,131.976875,384.2848438,1.438259549,-1.641167535
11.8,140.633125,380.5778125,69.36469184,-9.456922743
12,163.6604688,378.0739063,114.7954644,-5.520833333
12.2,191.9651563,377.1325,127.4826389,5.112304688
12.4,220.3596875,380.0192188,105.1193576,15.35915799
12.6,239.3440625,385.9645313,51.81152344,11.98784722
12.8,243.4260938,387.4254688,-15.71777344,-3.718532986
13,231.7854688,383.6207813,-76.72363281,-15.39442274
13.2,209.6448438,378.2653125,-117.7886285,-12.57269965
13.4,178.9690625,376.7145313,-124.7216797,-0.265842014
13.6,153.1057813,379.3707813,-93.41037326,6.8359375
13.8,137.5745313,381.7614063,-37.09309896,2.703993056
14,136.914375,381.1403125,28.24273003,-5.191514757
14.2,149.9729688,378.7926563,86.30588108,-8.416341146
14.4,175.2854688,375.5739063,120.6580946,-0.888671875
14.6,204.1917188,377.445,119.8556858,11.18326823
14.8,229.3167188,381.82,83.41905382,14.34407552
15,241.1370313,385.4528125,24.42708333,5.749240451
15.2,240.101875,385.4645313,-40.89029948,-9.164496528
15.4,223.633125,380.3278125,-97.42892795,-16.37261285
15.6,195.7698438,375.5192188,-123.0642361,-7.459852431
15.8,167.9573438,376.4879688,-111.289605,5.972764757
16,146.3557813,380.3395313,-69.140625,8.214518229
16.2,137.3948438,381.6754688,-8.981662326,0.912543403
16.4,142.258125,381.0426563,53.77115885,-8.023546007
16.6,161.4182813,376.2145313,101.4043757,-6.206004886
16.8,187.5979688,376.5817188,120.2236875,4.887376428
17,215.1721875,379.1403125,104.9203322,11.63872979
17.2,234.9534375,383.4059375,57.19151376,7.682198517
17.4,240.4104688,383.4254688,-5.846876071,-2.996483316
17.6,232.1057813,381.4879688,-66.19827433,-10.17657807
17.8,211.2307813,378.0465625,-108.9485677,-10.10796441
18,182.9846875,375.5582813,-118.9122179,-0.519205729
18.2,157.14875,377.8239063,-91.58528646,8.850368924
18.4,142.39875,380.8004688,-39.80360243,9.679361979
18.6,140.101875,383.7535938,20.18391927,0.698242188
18.8,151.351875,380.9098438,74.44715712,-7.398546007
19,172.9651563,378.3160938,109.2871094,-3.924696181
19.2,200.2815625,378.1246875,112.9578993,5.462239583
19.4,223.7503125,381.5192188,83.44726563,10.11610243
19.6,237.9534375,384.3121875,28.84765625,4.181315104
19.8,236.5276563,384.0465625,-33.49989149,-6.187608507
20,222.4378125,380.866875,-84.13248698,-11.77951389
20.2,199.2034375,377.4489063,-111.8337674,-7.843424479
20.4,172.3635938,376.7926563,-107.3258464,0.832790799
20.6,150.6839063,378.6442188,-70.43782552,5.431857639
20.8,140.9495313,380.7145313,-13.91330295,1.692165799
21,144.9221875,379.741875,44.72439236,-4.111328125
21.2,160.8557813,377.8004688,90.72536892,-3.926323785
21.4,185.4065625,376.7301563,111.2912326,3.17328559
21.6,211.055,379.1598438,98.58452691,9.881727431
21.8,229.2307813,382.1442188,58.92632378,8.944769965
22,237.5276563,384.1207813,2.154947917,0.722113715
22.2,230.2971875,383.2028125,-55.57996962,-10.63530816
22.4,212.1995313,378.1364063,-95.6233724,-12.99858941
22.6,187.8909375,375.4723438,-109.7873264,-3.371853299
22.8,162.851875,376.460625,-91.65961372,7.867838542
23,146.4260938,381.1090625,-45.78613281,7.600368924
23.2,142.8010938,381.2067188,11.36338976,-1.1328125
23.4,151.726875,379.9098438,64.39398872,-6.765407986
23.6,171.4885938,376.8317188,99.37717014,-4.097222222
23.8,196.0901563,376.9957813,106.2011719,4.862196181
24,219.3089063,379.4645313,81.76052517,10.21701389
24.2,233.14875,383.0621875,32.36111111,6.018337674
24.4,232.8010938,383.0621875,-22.50489639,-4.20639696
24.6,222.9378125,380.1832813,-70.32414716,-9.045278396
24.8,202.5159375,378.2223438,-102.5698699,-7.249278744
25,176.3596875,376.3473438,-102.2688007,-0.451315607
